respondent_number	respondent_id	respondent_name	respondent_qid	respondent_gender	respondent_birth_date	respondent_death_date	respondent_wikipedia_sitelinks	respondent_wikipedia_sitelinks_retrieved	respondent_qrank	respondent_qrank_retrieved	respondent_letter_first_printed	respondent_letter_first_printed_url
56	voter-frances-p-sawyer	Frances P. Sawyer	Q141247822	female	1836-09-05	1907-05-07	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
57	voter-prof-c-c-shackford	Prof. C. C. Shackford	Q21600517	male	1815	1891	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
58	voter-mrs-helen-s-shedd	Mrs. Helen S. Shedd	Q141224928	female	1841-05-26	1894-06-16	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
59	voter-mrs-m-a-shorey	Mrs. M. A. Shorey	Q141417553	female	1830-12-20	1907-03-08	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
60	voter-h-m-simmons	H. M. Simmons	Q55720818	male	1841	1905	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
61	voter-mrs-fayette-smith	Mrs. Fayette Smith	Q28954490	female	1840-07-23	1930-12-17	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
62	voter-rev-c-j-staples	Rev. C. J. Staples	Q141224433	male	1856-05-30	1936-01-02	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
63	voter-giles-b-stebbins	Giles B. Stebbins	Q141224446	male	1817-06-24	1900-10-31	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1885-02-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA489
64	voter-j-t-sunderland	J. T. Sunderland	Q52155288	male	1842-02-11	1936-08-13	1	2026-09-21T08:47:42Z	1294	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
65	voter-harriet-s-tolman	Harriet S. Tolman	Q141224499	female	1846-06-27	1922-09-06	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
66	voter-mrs-agatha-tunis	Mrs. Agatha Tunis	Q141416717	female			0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
67	voter-mrs-e-a-west	Mrs. E. A. West	Q141476117	female	1839-12-10	1901-06-21	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA250
68	voter-dr-samuel-willard	Dr. Samuel Willard	Q141224563	male	1821-12-30	1913-02-09	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1885-02-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA489
69	voter-mrs-alice-l-williams	Mrs. Alice L. Williams	Q141376523	female			0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
70	voter-mrs-celia-p-woolley	Mrs. Celia P. Woolley	Q5058012	female	1848-06-14	1918-03-09	2	2026-09-21T08:47:42Z	274	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA229
71	voter-mrs-villa-a-wright	Mrs. Villa A. Wright	Q141224752	female	1846-02-23	1909-01-26	0	2026-09-21T08:47:42Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA250
72	voter-prof-j-c-zachos	Prof. J. C. Zachos	Q3181216	male	1820-12-20	1898-03-20	4	2026-09-21T08:47:42Z	4173	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
